episode,agent0_type,agent1_type,winner,agent0_score,agent1_score,total_moves,game_length,agent0_captures,agent1_captures,final_board_seeds,score_difference,winner_margin,agent0_epsilon,agent1_epsilon
1,DQNSmall,QLearningAgent,DQNSmall,25,3,51,51,25,3,20,22,22,0.995,0.999
2,DQNMedium,DQNSmall,DQNMedium,26,9,63,63,26,9,13,17,17,0.995,0.995
3,GreedyAgent,DQNLarge,GreedyAgent,26,3,45,45,26,3,19,23,23,N/A,0.995
4,DQNLarge,DQNLarge,DQNLarge,28,20,155,155,28,20,4,8,8,0.995,0.995
5,RandomAgent,DQNMedium,RandomAgent,26,15,73,73,26,15,7,11,11,N/A,0.995
6,DQNSmall,DQNMedium,DQNMedium,23,25,104,104,23,25,2,2,2,0.995,0.995
7,GreedyAgent,QLearningAgent,GreedyAgent,28,3,43,43,28,3,17,25,25,N/A,0.999
8,DQNLarge,MinimaxAgent,DQNLarge,25,0,147,147,25,0,23,25,25,0.995,N/A
9,DQNMedium,MinimaxAgent,DQNMedium,28,0,309,309,28,0,20,28,28,0.995,N/A
10,HeuristicAgent,DQNLarge,HeuristicAgent,40,8,75,75,40,8,26,32,32,N/A,0.995
11,DQNSmall,DQNSmall,DQNSmall,13,26,124,124,13,26,9,13,13,0.995,0.995
12,QLearningAgent,MinimaxAgent,QLearningAgent,27,10,141,141,27,10,11,17,17,0.999,N/A
13,RandomAgent,RandomAgent,RandomAgent,28,20,83,83,28,20,13,8,8,N/A,N/A
14,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
15,HeuristicAgent,DQNMedium,HeuristicAgent,28,20,99,99,28,20,22,8,8,N/A,0.995
16,GreedyAgent,DQNSmall,GreedyAgent,40,8,35,35,40,8,22,32,32,N/A,0.995
17,QLearningAgent,DQNMedium,QLearningAgent,26,12,51,51,26,12,10,14,14,0.999,0.995
18,QLearningAgent,HeuristicAgent,HeuristicAgent,0,48,54,54,0,48,48,48,48,0.999,N/A
19,RandomAgent,HeuristicAgent,HeuristicAgent,19,29,170,170,19,29,26,10,10,N/A,N/A
20,RandomAgent,RandomAgent,RandomAgent,15,33,84,84,15,33,13,18,18,N/A,N/A
21,DQNMedium,GreedyAgent,GreedyAgent,5,28,46,46,5,28,15,23,23,0.995,N/A
22,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
23,DQNLarge,GreedyAgent,GreedyAgent,6,25,32,32,6,25,17,19,19,0.995,N/A
24,GreedyAgent,DQNMedium,GreedyAgent,32,16,45,45,32,16,8,16,16,N/A,0.995
25,MinimaxAgent,DQNMedium,MinimaxAgent,25,0,33,33,25,0,23,25,25,N/A,0.995
26,DQNLarge,HeuristicAgent,HeuristicAgent,21,27,50,50,21,27,19,6,6,0.995,N/A
27,DQNSmall,HeuristicAgent,HeuristicAgent,18,30,190,190,18,30,14,12,12,0.995,N/A
28,GreedyAgent,RandomAgent,GreedyAgent,25,10,49,49,25,10,13,15,15,N/A,N/A
29,DQNLarge,GreedyAgent,GreedyAgent,17,31,40,40,17,31,11,14,14,0.995,N/A
30,DQNSmall,DQNSmall,DQNSmall,23,25,208,208,23,25,4,2,2,0.995,0.995
31,RandomAgent,QLearningAgent,QLearningAgent,7,32,86,86,7,32,9,25,25,N/A,0.999
32,DQNMedium,RandomAgent,RandomAgent,20,28,94,94,20,28,14,8,8,0.995,N/A
